0.80,7107
0.81,7102
0.81,7091
0.81,7087
0.81,7082
0.81,7072
0.81,7068
0.81,7058
0.81,7053
0.81,7045
0.81,7040
0.82,7036
0.82,7027
0.82,7023
0.82,7014
0.82,7010
0.82,7005
0.82,6997
0.82,6992
0.82,6983
0.82,6980
0.83,6976
0.83,6972
0.83,6968
0.83,6965
0.83,6957
0.83,6953
0.83,6950
0.83,6946
0.83,6943
0.83,6935
0.84,6932
0.84,6928
0.84,6924
0.84,6921
0.84,6917
0.84,6909
0.84,6905
0.84,6901
0.84,6897
0.84,6893
0.85,6890
0.85,6886
0.85,6879
0.85,6875
0.85,6872
0.85,6868
0.85,6861
0.85,6857
0.85,6853
0.85,6849
0.86,6846
0.86,6842
0.86,6838
0.86,6834
0.86,6828
0.86,6824
0.86,6821
0.86,6818
0.86,6814
0.86,6811
0.87,6807
0.87,6804
0.87,6801
0.87,6795
0.87,6792
0.87,6789
0.87,6786
0.87,6782
0.87,6779
0.87,6776
0.88,6773
0.88,6769
0.88,6766
0.88,6763
0.88,6760
0.88,6756
0.88,6753
0.88,6747
0.88,6743
0.88,6740
0.89,6737
0.89,6734
0.89,6730
0.89,6727
0.89,6724
0.89,6718
0.89,6715
0.89,6712
0.89,6709
0.89,6706
0.90,6704
0.90,6701
0.90,6699
0.90,6696
0.90,6693
0.90,6691
0.90,6688
0.90,6685
0.90,6683
0.90,6680
0.91,6678
0.91,6675
0.91,6672
0.91,6670
0.91,6667
0.91,6664
0.91,6662
0.91,6659
0.91,6656
0.91,6653
0.92,6651
0.92,6648
0.92,6645
0.92,6642
0.92,6640
0.92,6638
0.92,6636
0.92,6634
0.92,6632
0.92,6630
0.93,6628
0.93,6625
0.93,6621
0.93,6619
0.93,6616
0.93,6614
0.93,6612
0.93,6610
0.93,6607
0.93,6605
0.94,6603
0.94,6601
0.94,6599
0.94,6597
0.94,6595
0.94,6593
0.94,6591
0.94,6590
0.94,6588
0.94,6586
0.95,6584
0.95,6583
0.95,6581
0.95,6579
0.95,6577
0.95,6575
0.95,6572
0.95,6569
0.95,6566
0.95,6564
0.96,6558
0.96,6555
0.96,6551
0.96,6547
0.96,6543
0.96,6538
0.96,6534
0.96,6530
0.96,6526
0.96,6521
0.97,6517
0.97,6513
0.97,6509
0.97,6505
0.97,6501
0.97,6497
0.97,6493
0.97,6485
0.97,6481
0.97,6478
0.98,6474
0.98,6471
0.98,6467
0.98,6464
0.98,6460
0.98,6458
0.98,6456
0.98,6454
0.98,6452
0.98,6450
0.99,6448
0.99,6446
0.99,6443
0.99,6442
0.99,6441
0.99,6439
0.99,6438
0.99,6437
0.99,6435
0.99,6434
1.00,6432
1.00,6430
1.00,6428
1.00,6426
1.00,6424
1.00,6422
1.00,6420
1.00,6416
1.00,6413
1.00,6410
1.01,6406
1.01,6403
1.01,6400
1.01,6396
1.01,6393
1.01,6389
1.01,6387
1.01,6384
1.01,6381
1.01,6378
1.02,6376
1.02,6373
1.02,6370
1.02,6367
1.02,6365
1.02,6363
1.02,6361
1.02,6359
1.02,6357
1.02,6355
1.03,6353
1.03,6351
1.03,6349
1.03,6347
1.03,6344
1.03,6342
1.03,6340
1.03,6337
1.03,6335
1.03,6332
1.04,6330
1.04,6328
1.04,6325
1.04,6321
1.04,6318
1.04,6316
1.04,6313
1.04,6311
1.04,6308
1.04,6306
1.05,6303
1.05,6301
1.05,6298
1.05,6296
1.05,6293
1.05,6291
1.05,6288
1.05,6286
1.05,6283
1.05,6281
1.06,6278
1.06,6276
1.06,6273
1.06,6271
1.06,6268
1.06,6266
1.06,6263
1.06,6261
1.06,6258
1.06,6256
1.07,6253
1.07,6251
1.07,6249
1.07,6246
1.07,6244
1.07,6242
1.07,6239
1.07,6237
1.07,6234
1.07,6230
1.08,6228
1.08,6225
1.08,6223
1.08,6221
1.08,6219
1.08,6216
1.08,6214
1.08,6212
1.08,6210
1.08,6207
1.09,6205
1.09,6203
1.09,6201
1.09,6198
1.09,6196
1.09,6194
1.09,6192
1.09,6190
1.09,6188
1.09,6186
1.10,6184
1.10,6181
1.10,6179
1.10,6177
1.10,6175
1.10,6172
1.10,6170
1.10,6168
1.10,6166
1.10,6163
1.11,6162
1.11,6160
1.11,6158
1.11,6156
1.11,6152
1.11,6150
1.11,6148
1.11,6146
1.11,6144
1.11,6142
1.12,6140
1.12,6138
1.12,6136
1.12,6134
1.12,6131
1.12,6130
1.12,6128
1.12,6126
1.12,6124
1.12,6123
1.13,6121
1.13,6119
1.13,6117
1.13,6116
1.13,6114
1.13,6112
1.13,6110
1.13,6109
1.13,6107
1.13,6105
1.14,6103
1.14,6102
1.14,6100
1.14,6099
1.14,6097
1.14,6095
1.14,6094
1.14,6092
1.14,6090
1.14,6087
1.15,6086
1.15,6084
1.15,6082
1.15,6081
1.15,6079
1.15,6077
1.15,6076
1.15,6074
1.15,6073
1.15,6071
1.16,6070
1.16,6068
1.16,6067
1.16,6065
1.16,6064
1.16,6063
1.16,6060
1.16,6059
1.16,6057
1.16,6056
1.17,6054
1.17,6053
1.17,6052
1.17,6050
1.17,6049
1.17,6048
1.17,6046
1.17,6045
1.17,6043
1.17,6042
1.18,6041
1.18,6040
1.18,6039
1.18,6038
1.18,6037
1.18,6036
1.18,6035
1.18,6033
1.18,6032
1.18,6031
1.19,6030
1.19,6029
1.19,6028
1.19,6027
1.19,6026
1.19,6025
1.19,6024
1.19,6023
1.19,6022
1.19,6021
1.20,6020
1.20,6019
1.20,6018
1.20,6017
